epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.9729028344154358,4.5247483253479,0.10203471034765244,1.631848931312561,6.156594276428223,1e-04,0.9885600805282593,6.659718990325928,0.06251110881567001,2.1761233806610107,8.835845947265625
1,0.9914760589599609,4.435193061828613,0.1457376331090927,1.384637713432312,5.819826602935791,1e-04,0.9921625852584839,5.470284938812256,0.1504552662372589,1.8771789073944092,7.347464084625244
2,0.991769552230835,4.317724704742432,0.20431466400623322,1.2573747634887695,5.575101375579834,1e-04,0.9912944436073303,5.1827521324157715,0.26271823048591614,1.7530590295791626,6.9358134269714355
3,0.9945312738418579,3.4972381591796875,0.16204729676246643,0.9808626174926758,4.478100776672363,1e-04,0.9937519431114197,4.988105297088623,0.11974488198757172,1.3852043151855469,6.373310089111328
4,0.9960509538650513,3.3045477867126465,0.10829000920057297,0.8046309351921082,4.10917329788208,1e-04,0.9952148795127869,5.083310604095459,0.09806475043296814,1.0233286619186401,6.1066389083862305
5,0.9893927574157715,3.839838981628418,0.14574404060840607,1.2530505657196045,5.092888832092285,1e-04,0.9894897937774658,5.266735553741455,0.13430199027061462,1.400270700454712,6.667007923126221
6,0.9952806234359741,2.6973705291748047,0.12045282870531082,0.8972389698028564,3.5946085453033447,1e-04,0.9935434460639954,5.068084239959717,0.09555938094854355,1.160172700881958,6.228257179260254
7,0.9887557625770569,3.3777709007263184,0.13329069316387177,1.0851901769638062,4.462964057922363,1e-04,0.9852924942970276,7.783544540405273,0.10802469402551651,1.9143218994140625,9.69786548614502
8,0.9872146844863892,3.8228578567504883,0.13206535577774048,1.1300020217895508,4.952857494354248,1e-04,0.9847798347473145,5.95405387878418,0.09828349947929382,1.456607699394226,7.410661697387695
9,0.9899161458015442,2.742971897125244,0.14787130057811737,0.9365935921669006,3.6795642375946045,1e-04,0.9883037209510803,4.144550800323486,0.12947581708431244,1.3566197156906128,5.5011701583862305
10,0.9906548857688904,4.785315990447998,0.13434427976608276,1.3084468841552734,6.093768119812012,1e-04,0.989147961139679,6.859419822692871,0.10715994983911514,1.6497466564178467,8.509166717529297
11,0.9893748164176941,3.6378962993621826,0.19265343248844147,1.1526408195495605,4.790539264678955,1e-04,0.9874321818351746,5.724881649017334,0.16783902049064636,1.709362506866455,7.4342427253723145
12,0.9901148080825806,3.057096004486084,0.16869822144508362,0.8842378258705139,3.9413347244262695,1e-04,0.9889770746231079,4.912938594818115,0.15178143978118896,1.4704227447509766,6.383362293243408
13,0.995270848274231,2.498116970062256,0.26791226863861084,0.781852662563324,3.279970645904541,1e-04,0.9928291440010071,4.654423713684082,0.19667978584766388,1.2820204496383667,5.93644380569458
14,0.9900690913200378,3.867614269256592,0.19460423290729523,1.1254591941833496,4.9930806159973145,1e-04,0.9885532259941101,4.1401591300964355,0.23520706593990326,1.3102279901504517,5.450387477874756
15,0.9923002123832703,4.054687023162842,0.2155260145664215,1.1661450862884521,5.220831394195557,1e-04,0.9892744421958923,7.283033847808838,0.3576384484767914,1.906617283821106,9.18964672088623
16,0.9902925491333008,2.76471209526062,0.21215076744556427,0.8718690276145935,3.6365773677825928,1e-04,0.9885361790657043,5.555962085723877,0.2191699892282486,1.2817026376724243,6.83766508102417
17,0.9916310906410217,3.423480987548828,0.22749143838882446,0.9052115082740784,4.3286967277526855,1e-04,0.9916396737098694,5.680807590484619,0.1928243339061737,1.1531985998153687,6.834005355834961
18,0.9922096133232117,3.179166078567505,0.23611238598823547,0.8734750151634216,4.052642822265625,1e-04,0.992254912853241,5.179783344268799,0.3121795654296875,1.2197262048721313,6.399508953094482
19,0.9954878687858582,1.944574236869812,0.20848029851913452,0.6203373670578003,2.564910888671875,1e-04,0.9935297966003418,4.899942398071289,0.12764379382133484,1.118834137916565,6.0187764167785645
20,0.9967491030693054,1.8262526988983154,0.1480093002319336,0.5365293622016907,2.362783670425415,1e-04,0.9955703020095825,4.416872024536133,0.11102908104658127,0.886322021484375,5.303194522857666
21,0.9906305074691772,2.7018039226531982,0.1793481558561325,0.8866016268730164,3.5884056091308594,1e-04,0.9891889691352844,3.930776834487915,0.1433732509613037,1.0802850723266602,5.011063575744629
22,0.995865523815155,1.9729000329971313,0.13995827734470367,0.6056710481643677,2.5785739421844482,1e-04,0.9948832988739014,4.436182975769043,0.1381540298461914,0.8312631249427795,5.267446517944336
23,0.9897691607475281,2.513760805130005,0.16412071883678436,0.7960072159767151,3.309769868850708,1e-04,0.9844551086425781,5.601449489593506,0.12760619819164276,1.2535268068313599,6.854975700378418
24,0.9886925220489502,2.7959582805633545,0.16193920373916626,0.8463243842124939,3.6422784328460693,1e-04,0.9849062561988831,6.1766133308410645,0.14906416833400726,1.64060378074646,7.8172173500061035
