epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.9508486390113831,6.825146675109863,0.12364941835403442,1.8796911239624023,8.704842567443848,1e-04,0.990217924118042,15.094526290893555,0.16349364817142487,4.212605953216553,19.30713653564453
1,0.9904914498329163,4.511752128601074,0.1725068837404251,1.2884299755096436,5.8001813888549805,1e-04,0.9902048707008362,10.26042366027832,0.21453888714313507,3.2325642108917236,13.492988586425781
2,0.9909803867340088,3.661804437637329,0.1804126501083374,0.9641870856285095,4.625992774963379,1e-04,0.9902395009994507,7.273947238922119,0.21056699752807617,2.2602477073669434,9.534193992614746
3,0.9917533993721008,2.990417003631592,0.18139015138149261,0.7921485304832458,3.782564163208008,1e-04,0.9904043674468994,5.598717212677002,0.20276349782943726,1.7442368268966675,7.342952728271484
4,0.9925151467323303,2.4639101028442383,0.18110422790050507,0.697496235370636,3.1614084243774414,1e-04,0.9907281398773193,4.666937828063965,0.20145614445209503,1.565442442893982,6.2323808670043945
5,0.9933476448059082,2.012422561645508,0.1835443079471588,0.6278769969940186,2.6403005123138428,1e-04,0.9911035895347595,3.9331796169281006,0.1908341348171234,1.4140594005584717,5.347239017486572
6,0.9941339492797852,1.6382200717926025,0.18419036269187927,0.5723796486854553,2.210599899291992,1e-04,0.9917055368423462,3.174440622329712,0.21121768653392792,1.2751538753509521,4.449594974517822
7,0.9948356747627258,1.3347299098968506,0.18716536462306976,0.5194190740585327,1.8541491031646729,1e-04,0.9921488165855408,2.842010259628296,0.19683827459812164,1.2359199523925781,4.077929973602295
8,0.9953849911689758,1.1017378568649292,0.18295806646347046,0.47840291261672974,1.580141305923462,1e-04,0.9924304485321045,2.7094571590423584,0.2042354941368103,1.253971815109253,3.9634296894073486
9,0.9958797097206116,0.9184491634368896,0.18507790565490723,0.43813031911849976,1.3565795421600342,1e-04,0.9928931593894958,2.2564523220062256,0.2087858021259308,1.0662599802017212,3.3227124214172363
10,0.9962637424468994,0.7782625555992126,0.18416711688041687,0.4030032157897949,1.1812657117843628,1e-04,0.9930505156517029,2.2353320121765137,0.19840286672115326,1.096045970916748,3.3313777446746826
11,0.9965837597846985,0.6745179891586304,0.1881973296403885,0.3741864264011383,1.0487046241760254,1e-04,0.9932096004486084,2.195293664932251,0.2003641128540039,1.108183741569519,3.3034775257110596
12,0.996900200843811,0.5793072581291199,0.18463827669620514,0.3410234749317169,0.9203310608863831,1e-04,0.9937653541564941,1.8871666193008423,0.208486869931221,0.9317305088043213,2.818896770477295
13,0.9971712827682495,0.5073617696762085,0.1869840770959854,0.31701621413230896,0.8243779540061951,1e-04,0.9937747716903687,1.9926949739456177,0.21236787736415863,0.9815373420715332,2.974231719970703
14,0.9973864555358887,0.44828513264656067,0.1845540702342987,0.2950116991996765,0.7432969212532043,1e-04,0.9940493106842041,1.7811152935028076,0.20865236222743988,0.8972286581993103,2.6783440113067627
15,0.9975641965866089,0.4024176597595215,0.18983027338981628,0.27783334255218506,0.6802511811256409,1e-04,0.9941690564155579,1.7582155466079712,0.21279296278953552,0.8468251824378967,2.6050407886505127
16,0.9977334141731262,0.36315909028053284,0.1854676604270935,0.26126882433891296,0.6244279146194458,1e-04,0.9942905306816101,1.7144452333450317,0.2072342485189438,0.8153428435325623,2.529788017272949
17,0.9978802800178528,0.3290743827819824,0.18842075765132904,0.24940545856952667,0.5784798264503479,1e-04,0.9944746494293213,1.6769722700119019,0.21176594495773315,0.8000855445861816,2.477057933807373
18,0.9980126619338989,0.29991626739501953,0.18829697370529175,0.23655082285404205,0.5364670157432556,1e-04,0.9946534037590027,1.6071408987045288,0.19861626625061035,0.7604953050613403,2.367636203765869
19,0.9981209635734558,0.27304384112358093,0.18749994039535522,0.22281216084957123,0.49585604667663574,1e-04,0.9947761297225952,1.568894624710083,0.2032116800546646,0.7319604158401489,2.3008556365966797
20,0.9982299208641052,0.24974817037582397,0.18460416793823242,0.21376918256282806,0.46351736783981323,1e-04,0.9948433041572571,1.5613505840301514,0.19366011023521423,0.7328768372535706,2.2942278385162354
21,0.9983201026916504,0.2301628291606903,0.18707317113876343,0.20426753163337708,0.43443039059638977,1e-04,0.9949303269386292,1.5680396556854248,0.1984308809041977,0.7464991807937622,2.3145391941070557
22,0.9983841776847839,0.2139153927564621,0.18867617845535278,0.1979462057352066,0.4118615686893463,1e-04,0.9949957132339478,1.4551692008972168,0.2065170556306839,0.6871122717857361,2.1422812938690186
23,0.9984618425369263,0.19827792048454285,0.18846794962882996,0.1909419447183609,0.38921990990638733,1e-04,0.995039165019989,1.5632303953170776,0.19656798243522644,0.7334535121917725,2.2966837882995605
24,0.9985396862030029,0.18142497539520264,0.18784914910793304,0.181696355342865,0.3631214499473572,1e-04,0.9951956868171692,1.4557095766067505,0.19066736102104187,0.6569809317588806,2.1126904487609863
25,0.9985962510108948,0.17107506096363068,0.18913215398788452,0.17701049149036407,0.34808558225631714,1e-04,0.9953184127807617,1.4040977954864502,0.2000153511762619,0.6636444330215454,2.067742109298706
26,0.9986587166786194,0.15701797604560852,0.18751123547554016,0.16880886256694794,0.32582688331604004,1e-04,0.9950727224349976,1.6901466846466064,0.2065848410129547,0.7506551146507263,2.4408016204833984
27,0.998715877532959,0.14543139934539795,0.1929650902748108,0.16230838000774384,0.3077397644519806,1e-04,0.9952808022499084,1.5397834777832031,0.19748617708683014,0.7030868530273438,2.2428698539733887
28,0.9987571239471436,0.13571284711360931,0.19016292691230774,0.15707820653915405,0.29279085993766785,1e-04,0.9953348636627197,1.5004304647445679,0.1838996410369873,0.6604892611503601,2.160919427871704
29,0.9988046288490295,0.12753206491470337,0.1912732571363449,0.15258315205574036,0.2801152467727661,1e-04,0.9953027963638306,1.5503755807876587,0.20102740824222565,0.6794906258583069,2.2298662662506104
30,0.998848557472229,0.1182231605052948,0.1948060691356659,0.1468987613916397,0.26512202620506287,1e-04,0.9953763484954834,1.6166132688522339,0.18699289858341217,0.673088550567627,2.2897024154663086
31,0.9988734126091003,0.11265648901462555,0.19405324757099152,0.1420234590768814,0.2546798884868622,1e-04,0.9955136179924011,1.500502586364746,0.18892784416675568,0.6438945531845093,2.144397020339966
32,0.9989007711410522,0.10724063962697983,0.19276562333106995,0.13872064650058746,0.24596133828163147,1e-04,0.9953962564468384,1.5685211420059204,0.20540621876716614,0.6746317744255066,2.2431530952453613
33,0.998932421207428,0.10134635865688324,0.19654183089733124,0.13629186153411865,0.23763814568519592,1e-04,0.9954967498779297,1.5037431716918945,0.20655705034732819,0.6359027028083801,2.139646053314209
34,0.9989538788795471,0.09573670476675034,0.1925370693206787,0.131821408867836,0.22755812108516693,1e-04,0.9955446124076843,1.4579423666000366,0.19285012781620026,0.6080747842788696,2.066016912460327
35,0.9989917874336243,0.08780936151742935,0.19674432277679443,0.1276894062757492,0.21549876034259796,1e-04,0.9954862594604492,1.509248971939087,0.1896655559539795,0.6124876141548157,2.121737003326416
36,0.999019980430603,0.08203182369470596,0.19155113399028778,0.12246163189411163,0.204493448138237,1e-04,0.9955645203590393,1.480037808418274,0.1820247769355774,0.5732516646385193,2.0532894134521484
37,0.9990394115447998,0.07729761302471161,0.19567447900772095,0.1196562647819519,0.19695380330085754,1e-04,0.9954349398612976,1.6993651390075684,0.20219555497169495,0.6614947319030762,2.3608596324920654
