epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.9992576837539673,0.01715659350156784,0.21464399993419647,0.05615551397204399,0.07331212610006332,1e-04,0.9963142275810242,1.5255202054977417,0.20984575152397156,0.4126242995262146,1.9381448030471802
1,0.9992570281028748,0.018283715471625328,0.21460172533988953,0.06002172827720642,0.0783054530620575,1e-04,0.9963045716285706,1.5787423849105835,0.22648277878761292,0.3700462579727173,1.9487885236740112
2,0.9992419481277466,0.022804170846939087,0.2115658074617386,0.06173892691731453,0.08454304933547974,1e-04,0.9955852627754211,2.1888678073883057,0.20524734258651733,0.49957066774368286,2.688438653945923
3,0.9992336630821228,0.02638878859579563,0.2126273214817047,0.06412540376186371,0.09051428735256195,1e-04,0.9954195618629456,2.408254861831665,0.22767317295074463,0.5553531646728516,2.9636070728302
4,0.9992399215698242,0.02048448659479618,0.2070530652999878,0.06163628026843071,0.08212076872587204,1e-04,0.995533287525177,2.414478063583374,0.19994927942752838,0.6045392751693726,3.0190179347991943
5,0.9992322325706482,0.026307377964258194,0.20971620082855225,0.0651848316192627,0.09149225056171417,1e-04,0.9956872463226318,2.1824841499328613,0.2250605970621109,0.5193572044372559,2.701841354370117
6,0.9992451667785645,0.02248133346438408,0.20549127459526062,0.061297979205846786,0.08377935737371445,1e-04,0.9957253336906433,2.169931173324585,0.1917099952697754,0.5474447011947632,2.7173755168914795
7,0.9992578625679016,0.01940072514116764,0.20914322137832642,0.05856194719672203,0.07796267420053482,1e-04,0.9958251714706421,2.059391975402832,0.21149395406246185,0.5338869690895081,2.5932788848876953
8,0.9992740154266357,0.015411154367029667,0.20736165344715118,0.05326089635491371,0.06867201626300812,1e-04,0.9960794448852539,1.8005785942077637,0.2215798795223236,0.5046975612640381,2.305276393890381
9,0.9992777705192566,0.012302957475185394,0.21235233545303345,0.048359040170907974,0.06066197156906128,1e-04,0.9960052371025085,1.8599740266799927,0.21054904162883759,0.5320192575454712,2.3919925689697266
